Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,2.976000071,3.173000097,3.463000059,3.611999989,3.653000116,3.621000051,3.602999926,3.536000013,3.605999947,3.51699996,3.426000118,3.549999952,3.41899991,3.086999893,2.941999912,2.825000048,2.128000021,2.493999958,2.470000029,2.275000095,1.983999968,1.692000031,1.725000024,1.735000014,1.67900002,1.633999944,1.559000015,1.542000055,1.519000053
Angola,AGO,22.60199928,20.92499924,21.25,21.1590004,21.14800072,20.06599998,21.46500015,20.43799973,20.89699936,22.88500023,23.11499977,23.89599991,23.92499924,23.64299965,20.53199959,17.67399979,14.63300037,12.04399967,10.60900021,9.088999748,7.361999989,7.359000206,7.453999996,7.428999901,7.278999805,7.281000137,7.138999939,7.252999783,7.245999813
Albania,ALB,16.78100014,17.65299988,17.68099976,17.52700043,17.60700035,18.3579998,18.31100082,18.32299995,18.56900024,17.7670002,17.4109993,17.51000023,17.49600029,17.27199936,16.87400055,16.3939991,15.9659996,13.06000042,13.67399979,14.08600044,13.48099995,13.3760004,15.86600018,17.48999977,17.07999992,15.22000027,13.75,13.89799976,13.95600033
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,11.63521258,12.01692626,12.9373976,13.09752818,13.40927944,12.64731685,12.10890377,12.17029354,12.34084247,12.75788834,12.55773451,12.59576377,12.50698193,11.49361292,11.26562394,10.37505761,9.846245217,9.471167532,9.257483615,9.176461676,10.03192862,10.22665287,10.21181972,10.21067465,10.21207755,9.961817481,9.951110101,9.938816874,9.931899922
Emiratos Árabes Unidos,ARE,1.631999969,1.699000001,1.800999999,1.807000041,1.799999952,1.881000042,1.963999987,2.039000034,2.174999952,2.25,2.403000116,2.640000105,2.867000103,3.03399992,3.119999886,2.773000002,2.467000008,2.332999945,2.698999882,2.663000107,2.493999958,2.40899992,2.292000055,2.061000109,1.835999966,1.636000037,2.463000059,2.575000048,2.642999887
Argentina,ARG,5.440000057,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52200031,11.50599957,10.07699966,8.470000267,7.836999893,8.645000458,7.714000225,7.178999901,7.217000008,7.099999905,7.268000126,7.643000126,8.015999794,8.347000122,9.482999802,9.984999657
Armenia,ARM,1.600000024,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,11.25300026,11.43900013,11.5170002,11.2329998,11.2159996,10.80000019,10.28100014,9.812000275,16.36800003,18.73999977,19.00799942,18.44300079,17.30999947,16.17900085,17.49799919,18.26099968,17.61700058,17.82699966,17.71199989,17.70700073
Australia,AUS,9.579000473,10.72900009,10.8739996,9.718999863,8.468999863,8.505999565,8.362000465,7.676000118,6.872000217,6.282999992,6.742000103,6.368000031,5.928999901,5.394999981,5.032000065,4.782000065,4.376999855,4.234000206,5.56099987,5.210999966,5.080999851,5.223999977,5.663000107,6.078000069,6.056000233,5.710999966,5.593999863,5.387000084,5.328000069
Austria,AUT,3.420000076,3.589999914,4.25,3.535000086,4.347000122,5.281000137,5.149000168,5.522999763,4.697999954,4.686999798,4.006999969,4.848999977,4.778999805,5.834000111,5.627999783,5.243000031,4.857999802,4.127999783,5.301000118,4.820000172,4.56400013,4.864999771,5.335000038,5.619999886,5.72300005,6.013999939,5.499000072,4.785999775,4.635000229
Azerbaiyán,AZE,0.8999999762,1.799999952,4.5,6.300000191,7.199999809,8.100000381,9.100000381,10,10.89999962,11.80000019,10.89999962,10,9.25,8,7.300000191,6.619999886,6.539999962,6.050000191,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5,5.21999979,5.395999908
Burundi,BDI,1.550999999,1.527999997,1.605000019,1.827000022,1.89199996,1.850000024,2.016000032,1.995000005,2.051000118,2.105999947,2.062000036,2.121999979,2.066999912,2.045000076,1.947999954,1.799999952,1.639999986,1.633999944,1.794999957,1.799999952,1.766000032,1.712000012,1.674000025,1.570000052,1.592000008,1.565999985,1.501000047,1.527999997,1.537999988
Bélgica,BEL,6.986000061,6.701000214,8.076999664,9.647000313,9.338999748,9.482999802,8.956000328,9.322999954,8.649000168,6.585999966,6.177000046,6.909999847,7.679999828,7.362999916,8.43999958,8.24600029,7.458000183,6.975999832,7.907999992,8.291999817,7.139999866,7.541999817,8.425000191,8.522999763,8.482000351,7.829999924,7.085999966,6.322999954,6.440999985
Benin,BEN,1.480999947,1.50999999,1.552000046,1.286000013,1.20599997,1.157999992,1.059999943,0.976000011,0.8759999871,0.8159999847,0.7129999995,0.6899999976,0.7289999723,0.7689999938,0.8050000072,0.7829999924,0.7319999933,0.7879999876,0.9670000076,1.039999962,2.645999908,2.734999895,2.665999889,2.540999889,2.463000059,2.41899991,2.180000067,2.125,2.025000095
Burkina Faso,BFA,2.438999891,2.411000013,2.568000078,2.579999924,2.555999994,2.54399991,2.453999996,2.440000057,2.532999992,2.664000034,2.778000116,2.809000015,2.779999971,3.390000105,4,3.698999882,3.299999952,3.594000101,4.396999836,4.90899992,5.293000221,5.809000015,6.277999878,6.479000092,6.703999996,6.363999844,6.014999866,6.059000015,6.149000168
Bangladesh,BGD,2.200000048,2.253000021,2.377000093,2.440000057,2.480000019,2.50999999,2.684999943,2.829999924,3.095000029,3.269999981,3.551000118,3.960999966,4.320000172,4.302000046,4.25,3.59100008,3.767999887,4.077000141,5,3.378999949,3.717999935,4.047999859,4.426000118,4.410999775,4.415999889,4.349999905,4.372000217,4.308000088,4.293000221
Bulgaria,BGR,12.18400002,12.34899998,13.03100014,13.53800011,13.33699989,13.50899982,13.69999981,12.19999981,14.10000038,16.21800041,19.92099953,18.10899925,13.7329998,12.0369997,10.08300018,8.951000214,6.877999783,5.609000206,6.816999912,10.27900028,11.26000023,12.27000046,12.94099998,11.42399979,9.142999649,7.574999809,6.164000034,5.261000156,4.818999767
Bahrein,BHR,0.97299999,1.032999992,1.128999949,1.13499999,1.128000021,1.105999947,1.085999966,1.059999943,1.078999996,1.052999973,1.031000018,1.05400002,1.06400001,1.041000009,0.9860000014,0.9049999714,0.8379999995,0.8349999785,1.069000006,1.129999995,1.139999986,1.200000048,1.215999961,1.149000049,1.075999975,1.013000011,0.9470000267,0.9620000124,0.9679999948
Bahamas,BHS,12.17000008,14.81000042,12.72000027,13.82999992,10.82999992,11.46000004,9.760000229,7.650000095,7.449999809,7.152999878,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.539999962,7.880000114,8.180000305,14.25,14.53999996,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,12.38099957,11.85000038,11.50199986
Bosnia y Herzegovina,BIH,17.54999924,18.37700081,19.51399994,20.39500046,21.21199989,21.92700005,22.90299988,23.69599915,25.31100082,26.18700027,27.12899971,28.22200012,29.03000069,29.86599922,30.48999977,31.11000061,28.98399925,23.40500069,24.06800079,27.31200027,27.58200073,28.01000023,27.45000076,27.5170002,27.64999962,25.40999985,20.46999931,20.8390007,21.21800041
Belarús,BLR,0.6000000238,3.099999905,8.5,12.80000019,17.70000076,24.39999962,17.10000038,14,12.80000019,11.94200039,11.31400013,10.89299965,10.14999962,9.272000313,8.534999847,7.605000019,6.781000137,6.122000217,6.099999905,6.06099987,6.074999809,6.038000107,5.934999943,5.893000126,5.913000107,5.840000153,5.650000095,5.708000183,5.795000076
Belice,BLZ,8.074000359,9.616999626,9.779999733,11.10000038,12.47999954,13.81999969,12.68000031,14.31000042,12.84000015,10.55900002,9.069999695,10.03999996,10.50399971,10.79800034,10.90999985,9.390000343,8.510000229,8.180000305,10.11499977,11.6590004,12.75800037,14.27000046,11.69999981,11.56999969,9.970000267,7.909999847,9,9.368000031,9.496999741
Bolivia,BOL,2.890000105,2.881000042,3.150000095,3.289999962,3.289000034,3.296999931,3.280999899,3.184000015,3.352999926,3.365999937,3.417999983,3.460000038,3.503000021,3.461999893,3.256000042,2.987999916,2.72300005,2.602999926,2.862999916,2.576999903,2.219000101,2.048000097,2.394000053,2.006999969,3.065999985,3.055999994,3.23300004,3.257999897,3.266000032
Brasil,BRA,6.260000229,6.420000076,6.03000021,6.09800005,6.420000076,7.252999783,8.157999992,9.423000336,10.20800018,9.894000053,9.609999657,9.37100029,9.991000175,9.104999542,9.56799984,8.638999939,8.326999664,7.342999935,8.522000313,7.725999832,6.916999817,7.19299984,6.985000134,6.670000076,8.437000275,11.60900021,12.82699966,12.54399967,12.21800041
Barbados,BRB,22.49300003,22.94000053,24.54000092,22.97999954,19.65999985,14.71000004,14.60999966,12.39999962,10.60999966,9.350000381,9.850000381,10.31999969,11,9.569999695,9.079999924,8.729999542,7.409999847,8.119999886,10.02000046,10.68999958,11.18999958,11.59000015,11.55000019,12.17000008,11.35000038,9.720000267,9.487000465,9.56799984,9.588000298
Brunei Darussalam,BRN,4.699999809,4.90500021,5.175000191,5.268000126,5.337999821,5.375999928,5.418000221,5.447999954,5.572000027,5.599999905,5.633999825,5.771999836,5.881000042,5.914999962,5.868999958,5.743000031,5.624000072,5.697000027,6.423999786,6.657999992,6.71999979,6.896999836,7.028999805,6.965000153,7.756000042,8.559000015,9.315999985,9.223999977,9.244999886
Bhután,BTN,1.294999957,1.215999961,1.30400002,1.269000053,1.325999975,1.33099997,1.411000013,1.399999976,1.399999976,1.707999945,1.899999976,1.866000056,1.799999952,2.49000001,3.099999905,3.130000114,3.700000048,3.46600008,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,2.338999987,2.170000076,2.197000027,2.187000036
Botswana,BWA,13.81999969,15.86600018,18.58300018,21.20000076,21.38800049,21.57999992,21.64800072,20.86000061,18.92900085,15.88000011,18.54000092,21.20299911,23.79999924,21.68400002,19.83200073,17.79999924,16.62899971,15.93000031,16.16900063,17.86000061,17.77000046,17.91300011,18.2859993,18.22299957,17.95599937,17.9489994,17.63100052,17.94099998,18.19199944
República Centroafricana,CAF,6.741000175,6.835999966,7.119999886,7.236999989,7.184000015,7.531000137,7.626999855,7.471000195,7.609000206,7.59100008,7.597000122,7.681000233,7.717000008,7.599999905,7.329999924,6.959000111,6.605999947,6.388999939,6.872000217,6.926000118,7.001999855,6.918000221,6.894999981,6.901000023,6.754000187,6.646999836,6.447000027,6.482999802,6.521999836
Canadá,CAN,10.31599998,11.19699955,11.37699986,10.39500046,9.48900032,9.619999886,9.100999832,8.277999878,7.583000183,6.828999996,7.218999863,7.664999962,7.573999882,7.184999943,6.757999897,6.320000172,6.035999775,6.137000084,8.343999863,8.055999756,7.511000156,7.291999817,7.073999882,6.914000034,6.906000137,6.999000072,6.340000153,5.920000076,6.05700016
Europa Central y del Báltico,CEB,9.501198007,9.866817955,11.18158792,11.29054659,10.86693367,10.13746717,9.158796817,8.951553546,10.38551,12.43645755,13.2299211,13.74464336,12.95886308,12.93481377,12.05441535,10.10462335,7.80861418,6.604396453,8.4881597,9.899751356,9.789602392,9.978760754,10.04648544,8.952362681,7.817327597,6.489337213,5.294534851,4.328621021,4.083569169
Suiza,CHE,1.77699995,2.811000109,3.717000008,3.878999949,3.326999903,3.704999924,4.203999996,3.596999884,3.144999981,2.665999889,2.49000001,2.924000025,4.116000175,4.315999985,4.436999798,4,3.65199995,3.349999905,4.116000175,4.80700016,4.407999992,4.485000134,4.747000217,4.826000214,4.801000118,4.918000221,4.796999931,4.882999897,4.874000072
Islas del Canal,CHI,7.587999821,7.782999992,8.071000099,8.088000298,8.069000244,8.00399971,7.945000172,7.868000031,7.926000118,7.847000122,7.777999878,7.849999905,7.881000042,7.811999798,7.636000156,7.355999947,7.092000008,7.078999996,7.895999908,8.076000214,8.038000107,8.138999939,8.18500042,7.993000031,7.77699995,7.574999809,7.347000122,7.288000107,7.232999802
Chile,CHL,5.230000019,4.349999905,4.489999771,5.869999886,4.699999809,7.414000034,7.136000156,7.30700016,11.15799999,10.49100018,10.39000034,10.16800022,9.765000343,10.1619997,9.340000153,9.024000168,8.427000046,9.284999847,11.31299973,8.423999786,7.343999863,6.65899992,6.214000225,6.664999962,6.507999897,6.737999916,6.958000183,7.22300005,7.43200016
China,CHN,2.400000095,2.400000095,2.700000048,2.900000095,3,3.099999905,3.200000048,3.200000048,3.299999952,3.299999952,3.799999952,4.199999809,4.599999905,4.5,4.5,4.400000095,4.300000191,4.599999905,4.699999809,4.5,4.5,4.599999905,4.599999905,4.599999905,4.599999905,4.5,4.400000095,4.416999817,4.423999786
Côte d'Ivoire,CIV,6.56799984,6.699999809,5.998000145,5.063000202,4.099999905,4.197999954,4.099999905,4.099999905,4.461999893,4.671999931,4.941999912,5.369999886,5.456999779,5.631000042,5.671999931,5.693999767,5.56099987,5.607999802,6.493000031,6.75,7.291999817,7.22300005,4.254000187,3.660000086,3.112999916,2.598999977,2.487999916,2.480000019,2.444999933
Camerún,CMR,7.257999897,7.43599987,7.736999989,7.906000137,8.022000313,8.06000042,8.041000366,8.031000137,8.123999596,7.618000031,7.460000038,6.818999767,6.089000225,5.116000175,4.400000095,3.670000076,3.062999964,3.108999968,3.693000078,4.110000134,3.993000031,3.845000029,3.742000103,3.53399992,3.539000034,3.470999956,3.358999968,3.361000061,3.339999914
"Congo, República Democrática del",COD,2.540999889,2.407000065,2.747999907,3.029000044,3.012000084,2.516000032,2.454999924,2.446000099,3.082000017,3.048000097,3.063999891,3.096999884,3.062000036,2.934999943,2.848999977,2.904000044,2.983999968,3.170000076,3.66899991,3.946000099,4.297999859,4.485000134,4.429999828,4.160999775,4.173999786,4.295000076,4.102000237,4.15500021,4.271999836
"Congo, República del",COG,20.33300018,20.44799995,20.48399925,18.91799927,20.03100014,20.02799988,20.4470005,20.59000015,20.18799973,20.15999985,20.03199959,20.52199936,20.34600067,20.21199989,19.79599953,18.23600006,16.44199944,16.11100006,16.10000038,14.14900017,11.96000004,10,10.02900028,9.576000214,9.758999825,9.708999634,10.15600014,10.38199997,10.38700008
Colombia,COL,10.11999989,9.43999958,7.800000191,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,15.63300037,14.18900013,13.71700001,11.86999989,11.50699997,11.20400047,11.27299976,12.06599998,10.98400021,10.11100006,9.739999771,9.052000046,8.57199955,8.298999786,8.692000389,8.871999741,9.093000412,9.187999725
Comoras,COM,4.146999836,4.15500021,4.367000103,4.272999763,4.468999863,4.620999813,4.610000134,4.546000004,4.722000122,4.665999889,4.644000053,4.705999851,4.671999931,4.571000099,4.482999802,4.197999954,3.924000025,3.786000013,4.197000027,4.230999947,4.249000072,4.198999882,4.150000095,4.074999809,3.99000001,3.851999998,3.696000099,3.710000038,3.703000069
Cabo Verde,CPV,10.32299995,10.46399975,10.83199978,10.84200001,11.10099983,11.1420002,11.19400024,11.45400047,11.65499973,11.72799969,11.69699955,11.71500015,11.81299973,11.35900021,11.23400021,10.96500015,10.10599995,9.961000443,10.64000034,10.67000008,10.97599983,11.60200024,12.11200047,11.99300003,12.11400032,12.31200027,12.24100018,12.27600002,12.30300045
Costa Rica,CRI,5.373000145,3.927000046,3.953999996,4.045000076,5.176000118,6.162000179,5.681000233,5.327000141,5.894999981,5.081999779,5.914999962,6.334000111,6.558000088,6.390999794,6.571000099,5.739999771,4.489999771,4.781000137,7.712999821,7.171000004,10.13899994,9.784000397,8.767999649,9.059000015,8.998999596,8.597999573,8.142000198,8.128000259,8.190999985
Estados pequeos del Caribe,CSS,13.02492318,13.11260877,13.52025768,12.93552117,12.69067063,12.48525372,12.51912391,11.92287716,11.99457031,11.62312658,11.26719046,11.12867057,10.18359816,9.811227895,9.547825592,8.746980109,8.247696751,8.496131514,9.850974746,10.44484255,10.66062658,11.34100282,11.7641328,10.99975138,10.76891896,10.58924659,9.914562188,8.957645454,8.966007668
Cuba,CUB,7.598999977,7.803999901,8.256999969,8.31400013,8.270000458,7.610000134,7.099999905,6.230000019,6.260000229,5.449999809,4.079999924,3.309999943,2.329999924,1.853999972,1.950000048,1.912999988,1.787999988,1.582999945,1.669999957,2.5,3.180000067,3.460000038,3.289999962,2.700000048,2.400000095,2.361999989,2.278000116,2.263999939,2.252000093
Chipre,CYP,2.036000013,2.089999914,2.58100009,3.035000086,3.512000084,3.997999907,4.514999866,5.046999931,5.699999809,4.967000008,3.983999968,3.299000025,4.135000229,4.333000183,5.303999901,4.543000221,3.921999931,3.654999971,5.363999844,6.263000011,7.855999947,11.79500008,15.87100029,16.08799934,14.90799999,12.94999981,11.05200005,8.109000206,7.916999817
República Checa,CZE,2.269999981,3.181999922,4.320000172,4.296000004,4.024000168,3.894000053,4.270999908,5.903999805,8.48900032,8.762000084,7.991000175,7.019000053,7.544000149,8.210000038,7.927000046,7.147999763,5.320000172,4.392000198,6.662000179,7.278999805,6.710999966,6.978000164,6.953000069,6.107999802,5.046000004,3.950999975,2.890000105,2.397000074,2.473999977
Alemania,DEU,5.316999912,6.322999954,7.675000191,8.727999687,8.157999992,8.824999809,9.862999916,9.788000107,8.854999542,7.916999817,7.772999763,8.482000351,9.779000282,10.72700024,11.16699982,10.25,8.657999992,7.524000168,7.742000103,6.96600008,5.823999882,5.379000187,5.230999947,4.980999947,4.624000072,4.122000217,3.746000051,3.424999952,3.198999882
Djibouti,DJI,12.23200035,12.45899963,12.83100033,13.21000004,13.51500034,13.51299953,13.54399967,13.43200016,13.81299973,13.63599968,13.61299992,13.6079998,13.29399967,13.00199986,12.69699955,11.7840004,11.02900028,10.77900028,11.71700001,12.47700024,12.41800022,12.28899956,11.72599983,11.74499989,11.09399986,11.04599953,11.16399956,11.12199974,11.02999973
Dinamarca,DNK,9.098999977,9.027000427,10.71899986,8.036000252,6.992000103,6.843999863,5.400000095,5.039000034,5.140999794,4.475999832,4.164000034,4.274000168,5.397999763,5.203999996,4.829999924,3.897000074,3.801000118,3.434000015,6.006999969,7.464000225,7.572999954,7.526000023,6.997000217,6.589000225,6.168000221,6.181000233,5.743000031,4.974999905,4.830999851
República Dominicana,DOM,6.05700016,6.160999775,6.357999802,6.380000114,6.491000175,6.504000187,6.524000168,6.300000191,6.458000183,6.43200016,7.262000084,6.778999805,6.938000202,6.302999973,6.586999893,5.65500021,5.157999992,4.763999939,5.467000008,5.211999893,6.086999893,6.722000122,7.352000237,6.718999863,7.605000019,7.28399992,5.831999779,5.828999996,5.828000069
Argelia,DZA,20.60000038,24.37999916,26.22999954,27.73999977,31.84000015,28.61800003,25.43000031,26.91900063,28.44799995,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.20699978,11.20600033,10.20199966,11.99600029,12.14500046,12.34899998
Asia oriental y el Pacífico (excluido altos ingresos),EAP,2.425355726,2.396416186,2.694042111,2.875584015,2.975177182,3.078111981,3.213080186,3.364549382,3.524491702,3.472427999,3.860030789,4.144065466,4.432202309,4.413545778,4.470494266,4.351110959,4.304076924,4.456242425,4.395529368,4.144057157,4.082022402,4.070454687,4.063485389,4.03207892,4.091427108,4.002129032,3.917116961,3.938292172,3.94545415
inicial del dividendo demográfico,EAR,3.88564646,3.979693751,4.337553655,4.532446075,4.874971375,4.801135014,4.726718429,4.832040555,5.08264925,5.077730057,5.201675327,5.543588666,5.469939415,5.263852165,5.213021385,4.778372185,4.530360948,4.323181979,4.61700569,4.450215984,4.438750735,4.48140557,4.603195291,4.510154073,4.656637433,4.656287505,4.536072951,4.53908073,4.588520862
Asia oriental y el Pacífico,EAS,2.472108441,2.466692374,2.757082135,2.925414744,3.017895444,3.128640642,3.256887688,3.528366155,3.697518772,3.598731434,3.972554631,4.247188801,4.500633965,4.435461658,4.458699981,4.321497976,4.254026654,4.396629199,4.454440997,4.215044251,4.108580954,4.08161867,4.060260684,4.019364474,4.061982121,3.966466253,3.869609884,3.868119814,3.871915372
Europa y Asia central (excluido altos ingresos),ECA,5.201177457,5.48368925,6.237014186,7.826182166,9.115240512,9.87750514,10.7482036,11.78695374,11.97650616,10.69829726,10.02583403,9.736313705,9.503149657,9.214441556,8.591850061,8.092871424,7.288936382,7.286292849,8.996582604,8.406248334,7.800821872,7.207280825,7.234515832,7.417088568,7.542561916,7.503900603,7.220870965,7.039704279,7.200292055
Europa y Asia central,ECS,6.939491799,7.443077144,8.618512896,9.667059235,9.979248501,10.3264467,10.56722228,10.7437821,10.64562341,9.813948618,9.106684579,9.151833597,9.163818639,9.136716496,8.722140813,8.06932202,7.149017819,7.071311856,8.900835141,8.991802811,8.752373978,8.960756565,9.189919368,8.940020759,8.543163706,8.076599,7.453813602,6.94375318,6.82712406
Ecuador,ECU,4.431000233,4.465000153,4.717999935,4.847000122,4.921000004,4.980999947,4.987999916,4.856999874,5.006000042,4.798999786,4.251999855,4.925000191,5.662000179,5.001999855,3.779000044,3.549999952,3.14199996,3.917000055,4.607999802,4.087999821,3.457999945,3.234999895,3.082999945,3.480000019,3.615999937,4.597000122,3.835999966,3.910000086,3.980999947
