pokedex_number,Name,type_1,type_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,generation,status
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,Normal
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,Normal
299,Nosepass,Rock,,375,30,45,135,45,90,30,3,Normal
300,Skitty,Normal,,260,50,45,45,35,35,50,3,Normal
301,Delcatty,Normal,,400,70,65,65,55,55,90,3,Normal
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,Normal
302,Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,Normal
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,Normal
303,Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,Normal
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,Normal
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,Normal
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,Normal
306,Mega Aggron,Steel,,630,70,140,230,60,80,50,3,Normal
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,Normal
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,Normal
308,Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,Normal
309,Electrike,Electric,,295,40,45,40,65,40,65,3,Normal
310,Manectric,Electric,,475,70,75,60,105,60,105,3,Normal
310,Mega Manectric,Electric,,575,70,75,80,135,80,135,3,Normal
311,Plusle,Electric,,405,60,50,40,85,75,95,3,Normal
312,Minun,Electric,,405,60,40,50,75,85,95,3,Normal
313,Volbeat,Bug,,430,65,73,75,47,85,85,3,Normal
314,Illumise,Bug,,430,65,47,75,73,85,85,3,Normal
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,Normal
316,Gulpin,Poison,,302,70,43,53,43,53,40,3,Normal
317,Swalot,Poison,,467,100,73,83,73,83,55,3,Normal
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,Normal
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,Normal
319,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,Normal
320,Wailmer,Water,,400,130,70,35,70,35,60,3,Normal
321,Wailord,Water,,500,170,90,45,90,45,60,3,Normal
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,Normal
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,Normal
323,Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,Normal
324,Torkoal,Fire,,470,70,85,140,85,70,20,3,Normal
325,Spoink,Psychic,,330,60,25,35,70,80,60,3,Normal
326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,Normal
327,Spinda,Normal,,360,60,60,60,60,60,60,3,Normal
328,Trapinch,Ground,,290,45,100,45,45,45,10,3,Normal
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,Normal
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,Normal
331,Cacnea,Grass,,335,50,85,40,85,40,35,3,Normal
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,Normal
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,Normal
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,Normal
334,Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,Normal
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,Normal
336,Seviper,Poison,,458,73,100,60,100,60,65,3,Normal
337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,3,Normal
338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,3,Normal
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,Normal
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,Normal
341,Corphish,Water,,308,43,80,65,50,35,35,3,Normal
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,Normal
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,Normal
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,Normal
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,Normal
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,Normal
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,Normal
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,Normal
349,Feebas,Water,,200,20,15,20,10,55,80,3,Normal
350,Milotic,Water,,540,95,60,79,100,125,81,3,Normal
351,Castform,Normal,,420,70,70,70,70,70,70,3,Normal
351,Castform Sunny Form,Fire,,420,70,70,70,70,70,70,3,Normal
351,Castform Rainy Form,Water,,420,70,70,70,70,70,70,3,Normal
351,Castform Snowy Form,Ice,,420,70,70,70,70,70,70,3,Normal
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,Normal
353,Shuppet,Ghost,,295,44,75,35,63,33,45,3,Normal
354,Banette,Ghost,,455,64,115,65,83,63,65,3,Normal
354,Mega Banette,Ghost,,555,64,165,75,93,83,75,3,Normal
355,Duskull,Ghost,,295,20,40,90,30,90,25,3,Normal
356,Dusclops,Ghost,,455,40,70,130,60,130,25,3,Normal
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,Normal
358,Chimecho,Psychic,,455,75,50,80,95,90,65,3,Normal
359,Absol,Dark,,465,65,130,60,75,60,75,3,Normal
359,Mega Absol,Dark,,565,65,150,60,115,60,115,3,Normal
360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,Normal
361,Snorunt,Ice,,300,50,50,50,50,50,50,3,Normal
362,Glalie,Ice,,480,80,80,80,80,80,80,3,Normal
362,Mega Glalie,Ice,,580,80,120,80,120,80,100,3,Normal
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,Normal
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,Normal
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,Normal
366,Clamperl,Water,,345,35,64,85,74,55,32,3,Normal
367,Huntail,Water,,485,55,104,105,94,75,52,3,Normal
368,Gorebyss,Water,,485,55,84,105,114,75,52,3,Normal
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,Normal
370,Luvdisc,Water,,330,43,30,55,40,65,97,3,Normal
371,Bagon,Dragon,,300,45,75,60,40,30,50,3,Normal
372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,Normal
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,Normal
373,Mega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,Normal
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,Normal
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,Normal
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,Normal
376,Mega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,Normal
377,Regirock,Rock,,580,80,100,200,50,100,50,3,Sub Legendary
378,Regice,Ice,,580,80,50,100,100,200,50,3,Sub Legendary
379,Registeel,Steel,,580,80,75,150,75,150,50,3,Sub Legendary
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,Sub Legendary
380,Mega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,Sub Legendary
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,Sub Legendary
381,Mega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,Sub Legendary
382,Kyogre,Water,,670,100,100,90,150,140,90,3,Legendary
382,Primal Kyogre,Water,,770,100,150,90,180,160,90,3,Legendary
383,Groudon,Ground,,670,100,150,140,100,90,90,3,Legendary
383,Primal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,Legendary
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,Legendary
384,Mega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,Legendary
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,Mythical
386,Deoxys Normal Forme,Psychic,,600,50,150,50,150,50,150,3,Mythical
386,Deoxys Attack Forme,Psychic,,600,50,180,20,180,20,150,3,Mythical
386,Deoxys Defense Forme,Psychic,,600,50,70,160,70,160,90,3,Mythical
386,Deoxys Speed Forme,Psychic,,600,50,95,90,95,90,180,3,Mythical
387,Turtwig,Grass,,318,55,68,64,45,55,31,4,Normal
388,Grotle,Grass,,405,75,89,85,55,65,36,4,Normal
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,Normal
390,Chimchar,Fire,,309,44,58,44,58,44,61,4,Normal
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,Normal
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,Normal
393,Piplup,Water,,314,53,51,53,61,56,40,4,Normal
394,Prinplup,Water,,405,64,66,68,81,76,50,4,Normal
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,Normal
396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,Normal
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,Normal
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,Normal
399,Bidoof,Normal,,250,59,45,40,35,40,31,4,Normal
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,Normal
401,Kricketot,Bug,,194,37,25,41,25,41,25,4,Normal
402,Kricketune,Bug,,384,77,85,51,55,51,65,4,Normal
403,Shinx,Electric,,263,45,65,34,40,34,45,4,Normal
404,Luxio,Electric,,363,60,85,49,60,49,60,4,Normal
405,Luxray,Electric,,523,80,120,79,95,79,70,4,Normal
406,Budew,Grass,Poison,280,40,30,35,50,70,55,4,Normal
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,Normal
408,Cranidos,Rock,,350,67,125,40,30,30,58,4,Normal
409,Rampardos,Rock,,495,97,165,60,65,50,58,4,Normal
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,Normal
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,Normal
412,Burmy,Bug,,224,40,29,45,29,45,36,4,Normal
413,Wormadam Plant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,Normal
413,Wormadam Sandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,Normal
413,Wormadam Trash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,Normal
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,Normal
415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,Normal
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,Normal
417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,Normal
418,Buizel,Water,,330,55,65,35,60,30,85,4,Normal
419,Floatzel,Water,,495,85,105,55,85,50,115,4,Normal
420,Cherubi,Grass,,275,45,35,45,62,53,35,4,Normal
421,Cherrim,Grass,,450,70,60,70,87,78,85,4,Normal
422,Shellos,Water,,325,76,48,48,57,62,34,4,Normal
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,Normal
424,Ambipom,Normal,,482,75,100,66,60,66,115,4,Normal
425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,Normal
426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,Normal
427,Buneary,Normal,,350,55,66,44,44,56,85,4,Normal
428,Lopunny,Normal,,480,65,76,84,54,96,105,4,Normal
428,Mega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,Normal
429,Mismagius,Ghost,,495,60,60,60,105,105,105,4,Normal
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,Normal
431,Glameow,Normal,,310,49,55,42,42,37,85,4,Normal
432,Purugly,Normal,,452,71,82,64,64,59,112,4,Normal
433,Chingling,Psychic,,285,45,30,50,65,50,45,4,Normal
434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,Normal
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,Normal
436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,Normal
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,Normal
438,Bonsly,Rock,,290,50,80,95,10,45,10,4,Normal
439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,Normal
440,Happiny,Normal,,220,100,5,5,15,65,30,4,Normal
441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,Normal
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,Normal
443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,Normal
444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,Normal
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,Normal
445,Mega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,Normal
446,Munchlax,Normal,,390,135,85,40,40,85,5,4,Normal
447,Riolu,Fighting,,285,40,70,40,35,40,60,4,Normal
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,Normal
448,Mega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,Normal
449,Hippopotas,Ground,,330,68,72,78,38,42,32,4,Normal
450,Hippowdon,Ground,,525,108,112,118,68,72,47,4,Normal
451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,Normal
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,Normal
453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,Normal
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,Normal
455,Carnivine,Grass,,454,74,100,72,90,72,46,4,Normal
456,Finneon,Water,,330,49,49,56,49,61,66,4,Normal
457,Lumineon,Water,,460,69,69,76,69,86,91,4,Normal
458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,Normal
459,Snover,Grass,Ice,334,60,62,50,62,60,40,4,Normal
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,Normal
460,Mega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,Normal
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,Normal
462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,Normal
463,Lickilicky,Normal,,515,110,85,95,80,95,50,4,Normal
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,Normal
465,Tangrowth,Grass,,535,100,100,125,110,50,50,4,Normal
466,Electivire,Electric,,540,75,123,67,95,85,95,4,Normal
467,Magmortar,Fire,,540,75,95,67,125,95,83,4,Normal
468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,Normal
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,Normal
470,Leafeon,Grass,,525,65,110,130,60,65,95,4,Normal
471,Glaceon,Ice,,525,65,60,110,130,95,65,4,Normal
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,Normal
473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,Normal
474,Porygon-Z,Normal,,535,85,80,70,135,75,90,4,Normal
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,Normal
475,Mega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,Normal
476,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,Normal
477,Dusknoir,Ghost,,525,45,100,135,65,135,45,4,Normal
478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,Normal
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,Normal
479,Heat Rotom,Electric,Fire,520,50,65,107,105,107,86,4,Normal
479,Wash Rotom,Electric,Water,520,50,65,107,105,107,86,4,Normal
479,Frost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,Normal
479,Fan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,Normal
479,Mow Rotom,Electric,Grass,520,50,65,107,105,107,86,4,Normal
480,Uxie,Psychic,,580,75,75,130,75,130,95,4,Sub Legendary
481,Mesprit,Psychic,,580,80,105,105,105,105,80,4,Sub Legendary
482,Azelf,Psychic,,580,75,125,70,125,70,115,4,Sub Legendary
483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,Legendary
484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,Legendary
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,Sub Legendary
486,Regigigas,Normal,,670,110,160,110,80,110,100,4,Sub Legendary
487,Giratina Altered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,Legendary
487,Giratina Origin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,Legendary
488,Cresselia,Psychic,,600,120,70,120,75,130,85,4,Sub Legendary
489,Phione,Water,,480,80,80,80,80,80,80,4,Mythical
490,Manaphy,Water,,600,100,100,100,100,100,100,4,Mythical
491,Darkrai,Dark,,600,70,90,90,135,90,125,4,Mythical
492,Shaymin Land Forme,Grass,,600,100,100,100,100,100,100,4,Mythical
492,Shaymin Sky Forme,Grass,Flying,600,100,103,75,120,75,127,4,Mythical
493,Arceus,Normal,,720,120,120,120,120,120,120,4,Mythical
494,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,Mythical
495,Snivy,Grass,,308,45,45,55,45,55,63,5,Normal
496,Servine,Grass,,413,60,60,75,60,75,83,5,Normal
497,Serperior,Grass,,528,75,75,95,75,95,113,5,Normal
498,Tepig,Fire,,308,65,63,45,45,45,45,5,Normal
499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,Normal
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,Normal
501,Oshawott,Water,,308,55,55,45,63,45,45,5,Normal
502,Dewott,Water,,413,75,75,60,83,60,60,5,Normal
503,Samurott,Water,,528,95,100,85,108,70,70,5,Normal
504,Patrat,Normal,,255,45,55,39,35,39,42,5,Normal
505,Watchog,Normal,,420,60,85,69,60,69,77,5,Normal
506,Lillipup,Normal,,275,45,60,45,25,45,55,5,Normal
507,Herdier,Normal,,370,65,80,65,35,65,60,5,Normal
508,Stoutland,Normal,,500,85,110,90,45,90,80,5,Normal
509,Purrloin,Dark,,281,41,50,37,50,37,66,5,Normal
510,Liepard,Dark,,446,64,88,50,88,50,106,5,Normal
511,Pansage,Grass,,316,50,53,48,53,48,64,5,Normal
512,Simisage,Grass,,498,75,98,63,98,63,101,5,Normal
513,Pansear,Fire,,316,50,53,48,53,48,64,5,Normal
514,Simisear,Fire,,498,75,98,63,98,63,101,5,Normal
515,Panpour,Water,,316,50,53,48,53,48,64,5,Normal
516,Simipour,Water,,498,75,98,63,98,63,101,5,Normal
517,Munna,Psychic,,292,76,25,45,67,55,24,5,Normal
518,Musharna,Psychic,,487,116,55,85,107,95,29,5,Normal
519,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,Normal
520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,Normal
521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,Normal
522,Blitzle,Electric,,295,45,60,32,50,32,76,5,Normal
523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,Normal
524,Roggenrola,Rock,,280,55,75,85,25,25,15,5,Normal
525,Boldore,Rock,,390,70,105,105,50,40,20,5,Normal
526,Gigalith,Rock,,515,85,135,130,60,80,25,5,Normal
527,Woobat,Psychic,Flying,323,65,45,43,55,43,72,5,Normal
528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,Normal
529,Drilbur,Ground,,328,60,85,40,30,45,68,5,Normal
530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,Normal
531,Audino,Normal,,445,103,60,86,60,86,50,5,Normal
531,Mega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,Normal
532,Timburr,Fighting,,305,75,80,55,25,35,35,5,Normal
533,Gurdurr,Fighting,,405,85,105,85,40,50,40,5,Normal
534,Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,Normal
535,Tympole,Water,,294,50,50,40,50,40,64,5,Normal
536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,Normal
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,Normal
538,Throh,Fighting,,465,120,100,85,30,85,45,5,Normal
539,Sawk,Fighting,,465,75,125,75,30,75,85,5,Normal
540,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,Normal
541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,Normal
542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,Normal
543,Venipede,Bug,Poison,260,30,45,59,30,39,57,5,Normal
544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,Normal
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,Normal
546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,Normal
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,Normal
548,Petilil,Grass,,280,45,35,50,70,50,30,5,Normal
549,Lilligant,Grass,,480,70,60,75,110,75,90,5,Normal
550,Basculin Red-Striped Form,Water,,460,70,92,65,80,55,98,5,Normal
550,Basculin Blue-Striped Form,Water,,460,70,92,65,80,55,98,5,Normal
551,Sandile,Ground,Dark,292,50,72,35,35,35,65,5,Normal
552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,Normal
553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,Normal
554,Darumaka,Fire,,315,70,90,45,15,45,50,5,Normal
554,Galarian Darumaka,Ice,,315,70,90,45,15,45,50,5,Normal
555,Darmanitan Standard Mode,Fire,,480,105,140,55,30,55,95,5,Normal
555,Darmanitan Zen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,Normal
555,Darmanitan Galarian Standard Mode,Ice,,480,105,140,55,30,55,95,5,Normal
555,Darmanitan Galarian Zen Mode,Ice,Fire,540,105,160,55,30,55,135,5,Normal
556,Maractus,Grass,,461,75,86,67,106,67,60,5,Normal
557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,Normal
558,Crustle,Bug,Rock,485,70,105,125,65,75,45,5,Normal
559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,Normal
560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,Normal
561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,Normal
562,Yamask,Ghost,,303,38,30,85,55,65,30,5,Normal
562,Galarian Yamask,Ground,Ghost,303,38,55,85,30,65,30,5,Normal
563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,Normal
564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,Normal
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,Normal
566,Archen,Rock,Flying,401,55,112,45,74,45,70,5,Normal
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,Normal
568,Trubbish,Poison,,329,50,50,62,40,62,65,5,Normal
569,Garbodor,Poison,,474,80,95,82,60,82,75,5,Normal
570,Zorua,Dark,,330,40,65,40,80,40,65,5,Normal
571,Zoroark,Dark,,510,60,105,60,120,60,105,5,Normal
572,Minccino,Normal,,300,55,50,40,40,40,75,5,Normal
573,Cinccino,Normal,,470,75,95,60,65,60,115,5,Normal
574,Gothita,Psychic,,290,45,30,50,55,65,45,5,Normal
575,Gothorita,Psychic,,390,60,45,70,75,85,55,5,Normal
576,Gothitelle,Psychic,,490,70,55,95,95,110,65,5,Normal
577,Solosis,Psychic,,290,45,30,40,105,50,20,5,Normal
578,Duosion,Psychic,,370,65,40,50,125,60,30,5,Normal
579,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,Normal
580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,Normal
581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,Normal
582,Vanillite,Ice,,305,36,50,50,65,60,44,5,Normal
583,Vanillish,Ice,,395,51,65,65,80,75,59,5,Normal
584,Vanilluxe,Ice,,535,71,95,85,110,95,79,5,Normal
585,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,Normal
586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,Normal
587,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,Normal
588,Karrablast,Bug,,315,50,75,45,40,45,60,5,Normal
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,Normal
590,Foongus,Grass,Poison,294,69,55,45,55,55,15,5,Normal
591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,Normal
592,Frillish,Water,Ghost,335,55,40,50,65,85,40,5,Normal
593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,Normal
594,Alomomola,Water,,470,165,75,80,40,45,65,5,Normal
595,Joltik,Bug,Electric,319,50,47,50,57,50,65,5,Normal
596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,Normal
